Sample_num,Sample_ID,BLK,Plot_ID,Trt,Depth,C ,N ,Soil_pH,DOC mg/L,TDN mg/L,DIN mg/L,DON mg/L,NH4 mg/L,NO3 mg/L,Na mg/L,K mg/L,Mg mg/L,Ca mg/L,Cl mg/L,PO4 mg/L,SO4 mg/L,DOC µg/g,TDN µg/g,DIN µg/g,DON µg/g,NH4 µg/g,NH4_N µg/g,NO3 µg/g,NO3_N µg/g,Na µg/g,K µg/g,Mg µg/g,Ca µg/g,Cl µg/g,PO4 µg/g,SO4 µg/g
1,CP_B1_M_A_5,1,A,M,0-5,1.45,0.10,5.91,13.85,1.07,0.43,0.64,0.20,1.21,0.40,2.41,0.71,1.35,1.29,2.88,1.51,80.07,6.20,2.48,3.73,1.16,0.90,6.99,1.58,2.31,13.90,4.08,7.80,7.47,16.67,8.70
2,CP_B1_M_A_15,1,A,M,5-15,1.68,0.07,6.74,14.93,1.61,0.20,1.41,0.18,0.26,0.40,1.97,0.42,2.37,1.40,0.68,1.35,86.64,9.32,1.15,8.17,1.04,0.81,1.49,0.34,2.29,11.40,2.41,13.75,8.14,3.97,7.83
3,CP_B1_CTL_B_5,1,B,C,0-5,1.76,0.15,6.33,13.35,1.27,0.68,0.59,0.20,2.35,0.46,5.14,0.55,2.31,2.31,2.12,1.06,76.43,7.29,3.91,3.38,1.12,0.87,13.47,3.04,2.60,29.43,3.16,13.22,13.25,12.13,6.06
4,CP_B1_CTL_B_15,1,B,C,5-15,1.73,0.09,6.17,13.75,1.11,0.29,0.82,0.10,0.98,0.55,4.43,0.45,1.09,3.16,2.21,1.06,76.75,6.20,1.64,4.55,0.53,0.41,5.44,1.23,3.04,24.70,2.53,6.10,17.62,12.33,5.90
5,CP_B1_BM_C_5,1,C,BM,0-5,1.40,0.07,6.08,17.02,1.54,0.23,1.31,0.07,0.79,0.98,5.08,0.49,2.29,1.93,1.78,2.32,94.74,8.56,1.29,7.27,0.39,0.30,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91
6,CP_B1_BM_C_15,1,C,BM,5-15,4.22,0.07,6.03,7.29,0.53,0.21,0.31,0.06,0.76,0.40,4.08,0.59,2.45,1.37,1.76,1.02,39.99,2.88,1.17,1.71,0.30,0.23,4.14,0.94,2.19,22.37,3.23,13.43,7.49,9.67,5.61
7,CP_B1_B_D_5,1,D,B,0-5,1.59,0.07,6.00,23.42,2.14,0.30,1.84,0.09,1.03,0.67,4.65,0.57,3.02,1.83,2.31,0.83,136.50,12.47,1.77,10.70,0.52,0.41,6.01,1.36,3.91,27.07,3.30,17.57,10.67,13.46,4.86
8,CP_B1_B_D_15,1,D,B,5-15,2.25,0.06,5.96,16.56,1.50,0.23,1.27,0.07,0.78,0.65,2.85,0.37,1.78,1.72,0.34,1.29,101.84,9.21,1.39,7.83,0.40,0.31,4.77,1.08,3.97,17.50,2.30,10.92,10.59,2.09,7.96
9,CP_B2_B_M_A_5,2,A,BM,0-5,4.45,0.09,6.17,10.53,1.58,0.27,1.30,0.12,0.80,0.63,5.83,0.49,2.45,1.50,2.00,2.15,59.18,8.86,1.52,7.33,0.65,0.50,4.52,1.02,3.51,32.77,2.74,13.75,8.44,11.21,12.06
10,CP_B2_B_M_A_15,2,A,BM,5-15,3.00,0.08,6.13,11.94,1.38,0.32,1.05,0.18,0.80,0.63,3.98,0.58,2.40,1.60,1.97,1.31,68.22,7.86,1.83,6.02,1.03,0.80,4.59,1.04,3.57,22.74,3.33,13.73,9.16,11.26,7.49
11,CP_B2_B_B_5,2,B,B,0-5,1.49,0.03,6.05,23.64,2.14,0.30,1.84,0.05,1.15,0.51,3.86,0.58,3.15,1.77,2.16,1.46,134.53,12.16,1.70,10.46,0.28,0.22,6.55,1.48,2.90,21.94,3.32,17.90,10.07,12.29,8.31
12,CP_B2_B_B_15,2,B,B,5-15,2.09,0.08,5.20,17.42,1.17,0.28,0.89,0.08,1.00,0.50,3.52,0.28,2.12,1.67,0.72,1.52,96.31,6.49,1.57,4.92,0.41,0.32,5.53,1.25,2.76,19.43,1.55,11.72,9.22,3.98,8.38
13,CP_B2_M_C_5,2,C,M,0-5,0.66,0.11,6.20,14.61,1.09,0.27,0.81,0.06,1.00,0.49,3.59,0.22,1.25,1.56,2.39,1.89,83.48,6.22,1.56,4.66,0.34,0.27,5.73,1.29,2.77,20.48,1.26,7.11,8.91,13.64,10.77
14,CP_B2_M_C_15,2,C,M,5-15,0.92,0.09,6.21,11.32,0.93,0.31,0.62,0.08,1.08,0.55,2.45,0.48,2.04,2.00,0.78,2.85,64.39,5.26,1.74,3.52,0.46,0.35,6.15,1.39,3.10,13.91,2.72,11.59,11.37,4.41,16.23
15,CP_B2_CTL_D_5,2,D,C,0-5,0.22,0.06,6.20,17.73,1.16,0.35,0.80,0.11,1.21,0.66,4.31,0.51,2.11,5.27,2.02,1.79,100.07,6.54,2.00,4.53,0.59,0.46,6.82,1.54,3.73,24.33,2.87,11.92,29.74,11.39,10.10
16,CP_B2_CTL_D_15,2,D,C,5-15,1.61,0.11,6.19,15.76,1.44,0.29,1.15,0.08,1.01,0.70,3.56,0.51,0.96,2.37,2.60,1.49,85.53,7.81,1.57,6.24,0.43,0.34,5.47,1.24,3.80,19.32,2.79,5.21,12.88,14.10,8.10
17,CP_B3_M_A_5,3,A,M,0-5,1.87,0.12,6.16,11.57,0.73,0.27,0.46,0.09,0.89,0.60,3.09,0.59,1.55,1.92,1.80,1.05,64.39,4.05,1.51,2.54,0.50,0.39,4.98,1.12,3.34,17.20,3.27,8.65,10.67,9.99,5.87
18,CP_B3_M_A_15,3,A,M,5-15,1.68,0.10,6.12,15.91,1.38,0.12,1.26,0.07,0.29,0.87,2.86,0.60,2.51,2.59,0.54,3.04,87.75,7.62,0.64,6.97,0.36,0.28,1.62,0.37,4.80,15.75,3.32,13.84,14.30,3.00,16.75
19,CP_B3_CTL_B_5,3,B,C,0-5,0.66,0.07,6.08,10.59,1.06,0.25,0.81,0.07,0.88,0.82,3.06,0.52,2.07,2.42,1.88,0.83,59.60,5.96,1.41,4.55,0.37,0.28,4.97,1.12,4.61,17.22,2.91,11.62,13.62,10.57,4.65
20,CP_B3_CTL_B_15,3,B,C,5-15,1.31,0.13,5.85,15.84,1.16,0.24,0.91,0.07,0.86,0.97,2.38,0.50,0.77,2.07,2.11,1.48,87.46,6.38,1.35,5.03,0.36,0.28,4.72,1.07,5.36,13.11,2.77,4.25,11.41,11.64,8.19
21,CP_B3_BM_C_5,3,C,BM,0-5,3.43,0.10,6.00,14.48,0.90,0.28,0.62,0.06,1.05,0.59,3.95,0.51,2.89,1.76,2.61,1.89,90.80,5.64,1.76,3.89,0.34,0.27,6.58,1.49,3.70,24.77,3.19,18.09,11.06,16.37,11.82
22,CP_B3_BM_C_15,3,C,BM,5-15,7.12,0.17,5.88,15.78,1.07,0.24,0.82,0.07,0.84,0.76,3.45,0.60,2.32,3.18,1.84,1.11,89.35,6.03,1.36,4.67,0.37,0.29,4.77,1.08,4.28,19.51,3.39,13.14,18.03,10.40,6.29
23,CP_B3_B_D_5,3,D,B,0-5,2.26,0.10,5.82,18.96,1.43,0.32,1.11,0.07,1.18,0.62,5.29,0.59,2.74,3.81,2.00,1.01,111.59,8.40,1.87,6.53,0.38,0.30,6.97,1.57,3.62,31.10,3.49,16.13,22.44,11.74,5.95
24,CP_B3_B_D_15,3,D,B,5-15,4.57,0.11,5.87,17.45,1.93,0.21,1.72,0.11,0.56,0.72,5.83,0.22,1.39,3.06,0.51,1.17,95.23,10.53,1.14,9.39,0.57,0.44,3.08,0.70,3.93,31.79,1.17,7.56,16.69,2.78,6.37
25,CP_B4_B_A_5,4,A,B,0-5,1.93,0.11,5.86,19.21,1.85,0.27,1.57,0.05,1.04,0.46,5.19,0.58,3.37,2.14,2.25,1.78,128.02,12.31,1.82,10.49,0.33,0.26,6.91,1.56,3.03,34.59,3.85,22.43,14.29,15.00,11.87
26,CP_B4_B_A_15,4,A,B,5-15,3.27,0.09,5.83,18.31,1.32,0.22,1.10,0.06,0.77,0.77,4.60,0.43,1.65,2.21,0.92,1.31,99.80,7.21,1.21,6.00,0.33,0.25,4.21,0.95,4.20,25.04,2.36,9.01,12.04,5.03,7.14
27,CP_B4_BM_B_5,4,B,BM,0-5,4.16,0.13,6.14,21.38,1.35,0.30,1.05,0.07,1.11,0.73,4.85,0.52,2.90,1.94,2.03,1.16,127.49,8.07,1.80,6.27,0.39,0.30,6.64,1.50,4.35,28.92,3.07,17.29,11.55,12.09,6.91
28,CP_B4_BM_B_15,4,B,BM,5-15,5.20,0.11,6.23,14.57,0.83,0.22,0.61,0.05,0.82,0.54,4.57,0.58,2.37,3.15,1.77,1.11,81.82,4.66,1.24,3.42,0.25,0.20,4.62,1.04,3.03,25.64,3.28,13.31,17.69,9.91,6.23
29,CP_B4_CTL_C_5,4,C,C,0-5,1.59,0.11,6.27,16.65,1.39,0.31,1.08,0.07,1.11,0.67,2.76,0.53,2.52,3.20,0.80,1.20,97.65,8.16,1.79,6.36,0.41,0.32,6.53,1.48,3.93,16.19,3.08,14.78,18.78,4.72,7.01
30,CP_B4_CTL_C_15,4,C,C,5-15,2.59,0.13,6.24,14.63,0.99,0.21,0.78,0.04,0.81,0.64,2.55,0.49,2.00,1.55,1.80,1.05,80.96,5.48,1.18,4.30,0.22,0.17,4.47,1.01,3.54,14.11,2.70,11.07,8.59,9.98,5.83
31,CP_B4_M_D_5,4,D,M,0-5,1.32,0.07,6.23,15.14,1.27,0.27,1.00,0.06,1.02,0.74,3.65,0.60,2.27,2.40,1.99,1.14,87.04,7.32,1.57,5.75,0.32,0.25,5.88,1.33,4.23,20.95,3.46,13.05,13.79,11.46,6.57
32,CP_B4_M_D_15,4,D,M,5-15,2.11,0.11,6.23,7.85,0.53,0.16,0.38,0.06,0.51,0.52,1.38,0.93,2.21,3.43,1.03,3.41,43.86,2.98,0.88,2.10,0.31,0.24,2.84,0.64,2.91,7.68,5.17,12.32,19.16,5.75,19.05
33,CP_B5_B_A_5,5,A,B,0-5,1.44,0.07,6.21,15.21,1.58,0.43,1.15,0.11,1.53,0.50,3.06,0.57,1.93,2.44,2.86,0.76,90.91,9.42,2.57,6.85,0.66,0.51,9.12,2.06,2.99,18.26,3.41,11.54,14.58,17.06,4.57
34,CP_B5_B_A_15,5,A,B,5-15,4.76,0.14,5.72,17.84,1.18,0.22,0.96,0.11,0.62,0.61,2.48,0.47,1.81,3.10,0.28,0.77,98.41,6.51,1.23,5.28,0.58,0.45,3.44,0.78,3.36,13.65,2.56,9.98,17.12,1.53,4.24
35,CP_B5_M_B_5,5,B,M,0-5,1.12,0.07,6.17,15.93,0.84,0.38,0.46,0.17,1.11,0.50,7.36,0.58,2.35,3.05,1.80,3.18,95.37,5.01,2.27,2.74,0.99,0.77,6.66,1.50,2.99,44.06,3.44,14.04,18.27,10.79,19.04
36,CP_B5_M_B_15,5,B,M,5-15,2.84,0.22,6.14,14.64,2.17,0.25,1.91,0.15,0.60,0.56,3.27,0.45,1.94,2.89,0.70,2.76,81.09,12.00,1.40,10.61,0.83,0.65,3.32,0.75,3.10,18.08,2.49,10.75,15.98,3.85,15.31
37,CP_B5_CTL_C_5,5,C,C,0-5,0.71,0.07,6.12,9.45,1.14,0.27,0.86,0.10,0.89,0.44,3.92,0.54,2.21,2.73,0.48,0.75,53.81,6.47,1.57,4.91,0.54,0.42,5.07,1.15,2.48,22.33,3.05,12.59,15.56,2.75,4.25
38,CP_B5_CTL_C_15,5,C,C,5-15,3.30,0.16,6.08,13.61,1.02,0.24,0.78,0.06,0.88,0.49,3.29,0.40,1.69,2.83,1.89,1.57,76.83,5.75,1.37,4.38,0.31,0.24,4.99,1.13,2.77,18.55,2.23,9.51,15.99,10.64,8.84
39,CP_B5_BM_D_5,5,D,BM,0-5,1.18,0.08,6.14,14.73,0.92,0.34,0.59,0.16,0.94,0.41,6.61,0.57,2.36,3.23,0.75,1.51,95.71,5.99,2.19,3.80,1.04,0.81,6.13,1.38,2.66,42.95,3.70,15.33,21.00,4.86,9.80
40,CP_B5_BM_D_15,5,D,BM,5-15,6.09,0.12,6.15,16.74,1.00,0.26,0.74,0.11,0.80,0.43,5.01,0.63,2.90,2.94,1.40,0.62,94.26,5.64,1.48,4.16,0.59,0.46,4.52,1.02,2.39,28.21,3.52,16.30,16.54,7.90,3.52
41,CP_B6_CTL_A_5,6,A,C,0-5,1.17,0.08,6.10,10.50,1.27,0.37,0.90,0.18,1.03,0.62,2.81,0.39,1.74,3.09,0.25,1.09,57.30,6.95,2.03,4.91,0.98,0.76,5.63,1.27,3.36,15.31,2.13,9.47,16.85,1.35,5.97
42,CP_B6_CTL_A_15,6,A,C,5-15,2.36,0.09,6.00,11.09,0.84,0.34,0.50,0.18,0.92,0.57,2.69,0.44,1.95,3.39,2.59,0.74,60.34,4.58,1.88,2.70,0.95,0.74,5.03,1.14,3.10,14.61,2.39,10.58,18.42,14.08,4.03
43,CP_B6_B_B_5,6,B,B,0-5,1.08,0.09,6.20,20.30,1.69,0.28,1.41,0.04,1.12,0.44,4.84,0.67,3.04,3.98,3.33,0.99,102.01,8.50,1.41,7.10,0.18,0.14,5.62,1.27,2.19,24.32,3.34,15.25,19.98,16.73,4.99
44,CP_B6_B_B_15,6,B,B,5-15,3.56,0.11,5.77,13.26,0.76,0.20,0.57,0.07,0.64,0.55,2.85,0.44,1.90,2.59,0.33,0.76,71.93,4.15,1.06,3.09,0.35,0.27,3.49,0.79,2.98,15.46,2.36,10.31,14.07,1.80,4.13
45,CP_B6_M_C_5,6,C,M,0-5,0.43,0.06,6.06,14.63,1.07,0.31,0.76,0.09,1.08,0.40,3.71,1.44,2.01,2.44,5.71,1.92,86.58,6.36,1.86,4.49,0.53,0.41,6.42,1.45,2.37,21.96,8.49,11.90,14.45,33.82,11.37
46,CP_B6_M_C_15,6,C,M,5-15,3.20,0.18,6.00,15.20,2.60,0.12,2.48,0.02,0.48,0.43,2.15,0.88,5.25,3.30,0.91,2.69,83.09,14.23,0.68,13.55,0.11,0.08,2.64,0.60,2.32,11.75,4.78,28.67,18.06,4.99,14.72
47,CP_B6_BM_D_5,6,D,BM,0-5,3.22,0.15,6.02,17.57,1.56,0.23,1.33,0.01,1.02,0.32,6.62,0.87,2.47,3.64,0.96,1.75,99.10,8.80,1.33,7.47,0.03,0.02,5.77,1.30,1.80,37.31,4.88,13.90,20.52,5.43,9.84
48,CP_B6_BM_D_15,6,D,BM,5-15,4.77,0.06,5.84,10.90,0.72,0.25,0.47,0.06,0.93,0.48,2.59,0.47,2.70,3.24,1.54,0.74,72.38,4.80,1.68,3.12,0.37,0.28,6.19,1.40,3.19,17.20,3.09,17.89,21.49,10.25,4.94